claim_id,method,physical_object,material,config,correctness_status,statistical_status,performance_status,point_estimate,uncertainty,comparator,cost_ratio,interval_low,interval_high,practical_threshold,evidence_path,final_disposition
C0_WQ,native_add_external_ph,phonon_frequency,LiF-electron,Method0_20c_rank20,PASS_OFF_SHADOW_AND_TABLE,NA,NA,NA,NA,unrepaired_add_external_ph,NA,NA,NA,NA,research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2,PRESERVED_POSITIVE
C1_HOTSPOT,B-best,MC_update_time_share,LiF-electron,Nmcmc100_4seeds,INSTRUMENTED,NA,NA,f_swap=0.212,NA,MC_loop,NA,0.210,0.212,NA,research/mainline/CLOSURE/2026-09-14/runs/night1/C1,PRESERVED_FACT
C5_Q_B0,B0,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_1of6,NA,-0.250253260,JK_SE_2.368meV,E_bare,NA,NA,NA,2.5meV_1pct,research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/recomputed,FIXED_SETTING_DEV
C5_Q_Bbest,B-best,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_3of6,NA,-0.247842001,JK_SE_3.712meV,E_bare,NA,NA,NA,2.5meV_1pct,research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/recomputed,FIXED_SETTING_DEV
C5_Q_P1fix,P1_fixture_binary,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_1of6,NO_RELIABLE_WALL,-0.249583768,JK_SE_2.343meV,B-best,T_0.989,0.952,1.025,0.95,research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/recomputed,TIMING_CONTAMINATED_BY_FIXTURE
P1_CLEAN,P1_clean,formation_energy_Q,LiF-electron,Nmcmc200_6ch,FIXTURE_PASS,HAC_FAIL,UNRESOLVED_WITHIN_BUDGET,-0.246613730,JK_SE_3.350meV,B-best,T_0.956,0.940,0.972,0.95,closure/2026-09-16-final/p1_confirm/result.json,P1_UNRESOLVED_WITHIN_BUDGET
P4,P4_affine64,DA_residual_b,LiF-electron,frozen_recipe,NOT_TESTED,DATA_CONTRACT_NOT_CLOSED,NOT_TESTED,NA,NA,clean_P1,NA,NA,NA,0.95,closure/2026-09-16-final/P4P5_DATA_CONTRACT.md,DATA_CONTRACT_NOT_CLOSED
P5,P5_nn128_32_1,DA_residual_b,LiF-electron,frozen_recipe_seed11,NOT_TESTED,DATA_CONTRACT_NOT_CLOSED,NOT_TESTED,NA,NA,clean_P1,NA,NA,NA,0.95,closure/2026-09-16-final/P4P5_DATA_CONTRACT.md,DATA_CONTRACT_NOT_CLOSED
R1_EVAL,R1_vs_CSE,fixed_order_kernel,scalar_toy,compile_once,PASS_SCOPED,NA,NO_UNIQUE_GAIN,ratio~0.9992,NA,symbolic_CSE,0.9992,NA,NA,NA,notes/mainline and M3/M4 records,SCOPED_NEGATIVE_PRESERVED
R1_MAT,R1_local_group,variable_order_material_Q,LiF-electron,Route_B,NOT_CLOSED,NOT_TESTED,NOT_TESTED,NA,NA,BOUND_C,NA,NA,NA,NA,closure/2026-09-16-final/R1_MATERIAL_CONNECTION.md,R1_MATERIAL_CONNECTION_NOT_CLOSED
GS_1PCT,reference,ground_state_Q,LiF-electron,infinite_tau_order_grid,NOT_CERTIFIED,NOT_TESTED,NA,NA,NA,literature_Table1,NA,NA,NA,1pct,closure/2026-09-16-final/FINAL_LIMITATIONS.md,NOT_CERTIFIED
GROUP_V3,Group-v3,historical_fixed_recipe,historical,fixed,PRESERVED,NA,NO_DEMONSTRATED_GAIN,NA,NA,baseline,NA,NA,NA,NA,historical records,NO_DEMONSTRATED_GAIN_FIXED_RECIPE
