g_over_t,omega_over_t,lambda,band,split,M_used,depth_gate,error_A_Born,error_A_SCBA64,error_A_SCBAgate,error_M1_Born,error_M1_SCBA64,error_M1_SCBAgate,Z_ED,Z_Born,Z_SCBA64,Z_SCBAgate,note
0.15,0.5,0.0225,weak,train,4,1,0.030115503439587937,0.015418954854848057,0.01574478639416267,2.2886090503333734e-05,1.7164066323488436e-05,1.7194317099164524e-05,0.865727493679837,0.869244820425972,0.8674496420394726,0.8674685322845753,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.15,0.8,0.014062499999999999,weak,test,4,1,0.008224720601897316,0.003937993274383861,0.00397487432358298,1.3664061383684197e-05,1.053873170461057e-05,1.0559352587743119e-05,0.9235735346827807,0.9242716780050336,0.9239003444817422,0.9239019791854042,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.15,2.0,0.005625,weak,train,4,1,0.0006211033892601283,0.0002752881496493198,0.0002757785842634619,1.210244960810937e-06,1.7762430739023602e-06,2.110432128620693e-06,0.9730089544776223,0.9731244520302064,0.9731106146687978,0.9731106261006213,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,0.5,0.2025,intermediate,test,8,2,0.8156114077680482,0.5886961258365507,0.5908722364596253,0.001762770731417021,0.0012710685180546688,0.001272272627308016,0.6115897213989808,0.7393364473078489,0.6861729332281994,0.6863411720145988,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,0.8,0.1265625,intermediate,train,6,2,0.3235655480128645,0.21049124735579886,0.21070877183633424,0.0010274708036953593,0.000764911954617975,0.0007672110577829246,0.8027047567910538,0.8398841959984243,0.8224376281988409,0.8224493059939258,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,2.0,0.050625,weak,test,4,1,0.03754207886615498,0.02028843403730889,0.020537653005241543,0.0003446943017840088,0.0002921984941547523,0.0004072983954175463,0.9491886481240092,0.9511521003219265,0.950163381734326,0.950170785118455,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,0.5,0.5625,intermediate,train,10,4,1.5627773085539447,1.2736098120802806,1.2740478343007748,0.01357278195395184,0.009095461332212451,0.009116617708224528,0.3036774809262861,0.6586629491027863,0.5293623380379398,0.5293672289748657,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,0.8,0.3515625,intermediate,test,8,3,1.1696159139507951,0.8795235887383948,0.879635689021625,0.007016380571998222,0.004786045281375429,0.004799836843266958,0.6038983909463886,0.7598956467705854,0.6966790542096014,0.6966866246819604,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,2.0,0.140625,intermediate,train,6,2,0.20823157725216224,0.12161429236141363,0.12163937619806259,0.002375866030024886,0.0017506218508089241,0.0017889660451945386,0.9030083058582085,0.9153739757554509,0.9091929772432437,0.9091941856919086,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
1.05,0.5,1.1025,strong,train,14,5,1.762196322118868,0.9863172923173602,0.989147849058873,0.05498637916040888,0.028306496751984628,0.029171021041472678,0.10041659948977176,0.6160516231128863,0.42302995333690496,0.42303258888028894,"c1_spectral;A=-(1/pi)ImG^R;eta_A=0.05;omega=linspace(-8,4,1601);Z=int_QP A;M1=first_moment[-8,4];theta_class=0.03;depth_from=week3;E0_Born_VC=NOT_COMPUTED;no_train"
