g_over_t,omega_over_t,lambda,band,E0_ED,E0_Born,E0_SCBA,E0_MA0,rel_Born,rel_SCBA,rel_MA0,best_block,lambda_if_block,note
0.15,0.5,0.0225,weak,-0.025011195833357803,-0.023957948465816996,-0.024501906084842373,-0.024634378706715906,0.04211103597597982,0.020362470947358,0.015065938036410471,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.15,0.8,0.014062499999999999,weak,-0.016411995814594443,-0.016120631607613123,-0.016275845958501886,-0.016328324501533473,0.01775312462133477,0.008295752547748317,0.005098180258281863,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.15,2.0,0.005625,weak,-0.0075011729011287805,-0.007476716472912221,-0.0074897813038690775,-0.007497675644844401,0.003260347220216611,0.0015186421390165224,0.00046622792601589135,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.45,0.5,0.2025,intermediate,-0.22597056572509017,-0.17227776087113264,-0.19525771830517596,-0.2049942326108431,0.23760972886742593,0.13591525657938408,0.0928277231458823,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.45,0.8,0.1265625,intermediate,-0.14813779739257232,-0.1294724791890623,-0.13849636859403075,-0.1425003635983158,0.12599970117043144,0.0650841916664342,0.038055336946296335,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.45,2.0,0.050625,weak,-0.06759567149368771,-0.0657068991711276,-0.06669421783604758,-0.06732389706611866,0.027942208144740358,0.013335967196129027,0.004020589211757903,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.75,0.5,0.5625,intermediate,-0.6337558805587407,-0.37799064297560836,-0.46706572919129363,-0.5386734190864371,0.40357059465490247,0.26301949454179,0.15003010526462598,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.75,0.8,0.3515625,intermediate,-0.4141522353421741,-0.3087230871959763,-0.35323367525640026,-0.3820607752950743,0.25456616951274413,0.1470921919217524,0.07748711055630474,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
0.75,2.0,0.140625,intermediate,-0.18824875576961658,-0.1748658676873891,-0.18158837132352318,-0.1863139321639753,0.0710915088257252,0.03538076211374563,0.010278015372431856,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
1.05,0.5,1.1025,strong,-1.2711554105515426,-0.6062574864800551,-0.7962863700566889,-1.1077565093816188,0.523065801830631,0.37357276423723235,0.1285436067168423,ma0,ma0,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
1.05,0.8,0.6890625,intermediate,-0.821257338852671,-0.5209224545267934,-0.6309483230714251,-0.737991417427263,0.365701309586417,0.23172884646256572,0.10138834380674612,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
1.05,2.0,0.275625,intermediate,-0.3704389369409427,-0.32432865695364266,-0.3462997255144582,-0.36382091477196077,0.12447471199457413,0.06516380709280814,0.017865352448187755,ma0,scba,c2_ma0;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute_ED_Born_SCBA;E0_Born_VC=NOT_COMPUTED;ma0=Berciu_PRB_76_165109_eq11_12;depth=64
