L,t,g,omega0,cutoff_kind,M,dimension,E0,delta_E0_vs_M_minus_2,passes_1e_minus_4
2,1.0,1.05,0.5,total_phonon_M,0,2,0.0,,False
2,1.0,1.05,0.5,total_phonon_M,2,12,-0.9031955098005922,0.9031955098005922,False
2,1.0,1.05,0.5,total_phonon_M,4,30,-1.16515809747612,0.2619625876755278,False
2,1.0,1.05,0.5,total_phonon_M,6,56,-1.2469319899744493,0.08177389249832934,False
2,1.0,1.05,0.5,total_phonon_M,8,90,-1.267173446489542,0.020241456515092793,False
2,1.0,1.05,0.5,total_phonon_M,10,132,-1.2706951669198177,0.0035217204302755434,False
2,1.0,1.05,0.5,total_phonon_M,12,182,-1.2711185202481536,0.0004233533283359847,False
2,1.0,1.05,0.5,total_phonon_M,14,240,-1.2711554105515426,3.689030338893673e-05,True
2,1.0,1.05,0.5,total_phonon_M,16,306,-1.2711578693737386,2.4588221960719636e-06,True
2,1.0,1.05,0.5,total_phonon_M,18,380,-1.2711579995770725,1.302033338923536e-07,True
2,1.0,1.05,0.5,total_phonon_M,20,462,-1.2711580052001803,5.623107757202206e-09,True
