g_over_t,omega_over_t,M_used,dim,E0_ED,DeltaE_cutoff,E0_Born,E0_SCBA,E0_Born_VC,note
0.15,0.5,4,30,-0.025011195833357803,2.4991324783171093e-05,-0.023957948465816996,-0.024501906084842373,NOT_COMPUTED,"label=weak;lambda=0.0225;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.15,0.8,4,30,-0.016411995814594443,2.782812200449042e-06,-0.016120631607613123,-0.016275845958501886,NOT_COMPUTED,"label=weak;lambda=0.0140625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.15,2.0,4,30,-0.0075011729011287805,4.3318925538674e-08,-0.007476716472912221,-0.0074897813038690775,NOT_COMPUTED,"label=weak;lambda=0.005625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.45,0.5,8,90,-0.22597056572509017,1.2333725901148007e-06,-0.17227776087113264,-0.19525771830517596,NOT_COMPUTED,"label=intermediate;lambda=0.2025;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.45,0.8,6,56,-0.14813779739257232,4.5313663414869865e-06,-0.1294724791890623,-0.13849636859403075,NOT_COMPUTED,"label=weak;lambda=0.1265625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.45,2.0,4,30,-0.06759567149368771,3.0497703877294113e-05,-0.0657068991711276,-0.06669421783604758,NOT_COMPUTED,"label=weak;lambda=0.050625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.75,0.5,10,132,-0.6337558805587407,2.3672001010721644e-05,-0.37799064297560836,-0.46706572919129363,NOT_COMPUTED,"label=intermediate;lambda=0.5625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.75,0.8,8,90,-0.4141522353421741,5.365068094398406e-06,-0.3087230871959763,-0.35323367525640026,NOT_COMPUTED,"label=intermediate;lambda=0.3515625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
0.75,2.0,6,56,-0.18824875576961658,4.908149960625163e-07,-0.1748658676873891,-0.18158837132352318,NOT_COMPUTED,"label=weak;lambda=0.140625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
1.05,0.5,14,240,-1.2711554105515426,3.689030338893673e-05,-0.6062574864800551,-0.7962863700566889,NOT_COMPUTED,"label=strong;lambda=1.1025;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);matched_accepted_E0=True;extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
1.05,0.8,10,132,-0.821257338852671,1.0285065319748377e-05,-0.5209224545267934,-0.6309483230714251,NOT_COMPUTED,"label=intermediate;lambda=0.6890625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
1.05,2.0,6,56,-0.3704389369409427,1.3242248792011413e-05,-0.32432865695364266,-0.3462997255144582,NOT_COMPUTED,"label=intermediate;lambda=0.275625;cutoff_kind=total_phonon_M;origin=xi_k=2t(1-cos k);extractor=periodic_L2_k=0,pi;eta=0.0001;scba_depth=64;E0=lowest_ReD_root;E0_Born_VC=NOT_COMPUTED"
