g_over_t,omega_over_t,lambda,band,E0_ED,E0_Born,E0_SCBA,delta_Born,delta_SCBA,rel_Born,rel_SCBA,scba_beats_born,note
0.15,0.5,0.0225,weak,-0.025011195833357803,-0.023957948465816996,-0.024501906084842373,0.001053247367540807,0.0005092897485154298,0.04211103597597982,0.020362470947358,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.15,0.8,0.014062499999999999,weak,-0.016411995814594443,-0.016120631607613123,-0.016275845958501886,0.0002913642069813198,0.00013614985609255656,0.01775312462133477,0.008295752547748317,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.15,2.0,0.005625,weak,-0.0075011729011287805,-0.007476716472912221,-0.0074897813038690775,2.445642821655939e-05,1.1391597259702985e-05,0.003260347220216611,0.0015186421390165224,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.45,0.5,0.2025,intermediate,-0.22597056572509017,-0.17227776087113264,-0.19525771830517596,0.053692804853957526,0.030712847419914202,0.23760972886742593,0.13591525657938408,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.45,0.8,0.1265625,intermediate,-0.14813779739257232,-0.1294724791890623,-0.13849636859403075,0.01866531820351003,0.009641428798541574,0.12599970117043144,0.0650841916664342,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.45,2.0,0.050625,weak,-0.06759567149368771,-0.0657068991711276,-0.06669421783604758,0.0018887723225601144,0.0009014536576401333,0.027942208144740358,0.013335967196129027,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.75,0.5,0.5625,intermediate,-0.6337558805587407,-0.37799064297560836,-0.46706572919129363,0.2557652375831323,0.16669015136744703,0.40357059465490247,0.26301949454179,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.75,0.8,0.3515625,intermediate,-0.4141522353421741,-0.3087230871959763,-0.35323367525640026,0.1054291481461978,0.06091856008577384,0.25456616951274413,0.1470921919217524,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
0.75,2.0,0.140625,intermediate,-0.18824875576961658,-0.1748658676873891,-0.18158837132352318,0.013382888082227484,0.006660384446093404,0.0710915088257252,0.03538076211374563,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
1.05,0.5,1.1025,strong,-1.2711554105515426,-0.6062574864800551,-0.7962863700566889,0.6648979240714875,0.4748690404948537,0.523065801830631,0.37357276423723235,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
1.05,0.8,0.6890625,intermediate,-0.821257338852671,-0.5209224545267934,-0.6309483230714251,0.3003348843258776,0.19030901578124593,0.365701309586417,0.23172884646256572,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
1.05,2.0,0.275625,intermediate,-0.3704389369409427,-0.32432865695364266,-0.3462997255144582,0.04611027998730005,0.024139211426484508,0.12447471199457413,0.06516380709280814,true,week2_band;lambda=g^2/(2*t*Omega);source=teacher_map_l2.csv;no_recompute;E0_Born_VC=NOT_COMPUTED
