g_over_t,omega_over_t,depth,E0,abs_D,n_crossings,sigma_diag_re,sigma_diag_im,rel_sigma_diag,rel_sigma_l2,note
0.15,0.5,0,-0.023957948465816996,0.0001041528525040116,1,-0.024999999098765466,-4.555555375528127e-06,,,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,1,-0.024497458740893964,0.00010440761453493838,1,-0.025631879217689082,-4.865364788565159e-06,0.024652120826689126,0.032642126763931065,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,2,-0.024501887593912863,0.00010441048300105301,1,-0.02563730151419872,-4.868961555522383e-06,0.00021150032509340222,0.00040212496768604155,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,3,-0.024501906037504996,0.00010441049710938321,1,-0.02563732473082409,-4.868979606253972e-06,9.055793539665332e-07,2.1985086322941802e-06,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,4,-0.02450190608475506,0.00010441049714970717,1,-0.02563732479156554,-4.868979658681235e-06,2.36925935479365e-09,6.925455868002903e-09,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,5,-0.024501906084842373,0.00010441049714978377,1,-0.025637324791673983,-4.868979658782261e-06,4.2299479122962985e-12,1.4359835765379362e-11,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,6,-0.024501906084842373,0.00010441049714978388,1,-0.02563732479167412,-4.868979658782401e-06,5.413121184757979e-15,2.1261606040689812e-14,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,7,-0.024501906084842373,0.00010441049714978388,1,-0.02563732479167412,-4.868979658782402e-06,3.3039052976919436e-20,5.625052064753987e-17,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,8,-0.024501906084842373,0.00010441049714978388,1,-0.02563732479167412,-4.868979658782402e-06,0.0,0.0,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,9,-0.024501906084842373,0.00010441049714978388,1,-0.02563732479167412,-4.868979658782402e-06,0.0,0.0,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
0.15,0.5,10,-0.024501906084842373,0.00010441049714978388,1,-0.02563732479167412,-4.868979658782402e-06,0.0,0.0,week3_scan;z_diag=0+i*eta;origin=xi_k=2t(1-cos k);E0_Born_VC=NOT_COMPUTED;no_train
