g_over_t,omega_over_t,lambda,band,split,theta_class,E0_ED,E0_SCBA_fixed,E0_gated,depth_gated,depth_oracle,rel_sigma_at_stop,delta_fixed,delta_gated,rel_fixed,rel_gated,match_grain_ok,n_green_fixed,n_green_gated_total,note
0.15,0.5,0.0225,weak,train,0.03,-0.025011195833357803,-0.024501906084842373,-0.024497458740893964,1,1,0.024652120826689126,0.0005092897485154298,0.0005137370924638389,0.020362470947358,0.020540285074201053,true,2145130,66010,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.15,0.8,0.014062499999999999,weak,test,0.03,-0.016411995814594443,-0.016275845958501886,-0.016275321917899276,1,1,0.009965852038541119,0.00013614985609255656,0.00013667389669516639,0.008295752547748317,0.008327682887515026,true,2145130,66010,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.15,2.0,0.005625,weak,train,0.03,-0.0075011729011287805,-0.0074897813038690775,-0.007489773142776669,1,1,0.0017581836771450522,1.1391597259702985e-05,1.139975835211162e-05,0.0015186421390165224,0.0015197301145259802,true,2145130,66010,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,0.5,0.2025,intermediate,test,0.03,-0.22597056572509017,-0.19525771830517596,-0.19520881251612418,2,2,0.024222389143714534,0.030712847419914202,0.030761753208965986,0.13591525657938408,0.13613168206336185,true,2145130,99018,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,0.8,0.1265625,intermediate,train,0.03,-0.14813779739257232,-0.13849636859403075,-0.13849245338301958,2,2,0.003176347223092823,0.009641428798541574,0.009645344009552748,0.0650841916664342,0.06511062118732683,true,2145130,99018,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.45,2.0,0.050625,weak,test,0.03,-0.06759567149368771,-0.06669421783604758,-0.06668869754437745,1,1,0.01585063416737124,0.0009014536576401333,0.0009069739493102608,0.013335967196129027,0.013417633544700517,true,2145130,66010,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,0.5,0.5625,intermediate,train,0.03,-0.6337558805587407,-0.46706572919129363,-0.46706398891840906,4,3,0.02147301839598524,0.16669015136744703,0.1666918916403316,0.26301949454179,0.2630222405090275,true,2145130,165040,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,0.8,0.3515625,intermediate,test,0.03,-0.4141522353421741,-0.35323367525640026,-0.3532307153003782,3,3,0.0017778378962566362,0.06091856008577384,0.06092152004179591,0.1470921919217524,0.14709933894588864,true,2145130,132028,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
0.75,2.0,0.140625,intermediate,train,0.03,-0.18824875576961658,-0.18158837132352318,-0.1815875396012704,2,2,0.0007388167952096337,0.006660384446093404,0.006661216168346196,0.03538076211374563,0.03538518032224529,true,2145130,99018,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
1.05,0.5,1.1025,strong,train,0.03,-1.2711554105515426,-0.7962863700566889,-0.796285148456118,5,4,0.020404140986760144,0.4748690404948537,0.4748702620954246,0.37357276423723235,0.3735737252531402,true,2145130,198054,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
1.05,0.8,0.6890625,intermediate,test,0.03,-0.821257338852671,-0.6309483230714251,-0.6309471250219941,4,3,0.0026184740903307867,0.19030901578124593,0.19031021383067692,0.23172884646256572,0.23173030526162214,true,2145130,165040,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
1.05,2.0,0.275625,intermediate,test,0.03,-0.3704389369409427,-0.3462997255144582,-0.34628981903917144,2,2,0.003056475669061203,0.024139211426484508,0.024149117901771266,0.06516380709280814,0.06519054962524429,true,2145130,99018,"week3_gate;r_n=|dSigma|/max(|Sigma|,eps);z_diag=0+i*eta;match=|d_gated|<=|d_fixed|+1e-4t;E0_Born_VC=NOT_COMPUTED;no_train"
