g_over_t,omega_over_t,lambda,split,theta_class,depth_classical,depth_learned,depth_oracle,E0_ED,E0_SCBA_fixed,E0_learned,delta_learned,match_grain_ok,n_cost_classical,n_cost_learned,n_infer,note
0.15,0.5,0.0225,train,0.03,1,1,1,-0.025011195833357803,-0.024501906084842373,-0.024497458740893964,0.0005137370924638389,true,66010,66011,1,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.15,0.8,0.014062499999999999,test,0.03,1,1,1,-0.016411995814594443,-0.016275845958501886,-0.016275321917899276,0.00013667389669516639,true,66010,66011,1,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.15,2.0,0.005625,train,0.03,1,1,1,-0.0075011729011287805,-0.0074897813038690775,-0.007489773142776669,1.139975835211162e-05,true,66010,66011,1,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.45,0.5,0.2025,test,0.03,2,2,2,-0.22597056572509017,-0.19525771830517596,-0.19520881251612418,0.030761753208965986,true,99018,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.45,0.8,0.1265625,train,0.03,2,2,2,-0.14813779739257232,-0.13849636859403075,-0.13849245338301958,0.009645344009552748,true,99018,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.45,2.0,0.050625,test,0.03,1,2,1,-0.06759567149368771,-0.06669421783604758,-0.06669420149635677,0.000901469997330942,true,66010,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.75,0.5,0.5625,train,0.03,4,3,3,-0.6337558805587407,-0.46706572919129363,-0.46701760137038906,0.1667382791883516,true,165040,132031,3,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.75,0.8,0.3515625,test,0.03,3,2,3,-0.4141522353421741,-0.35323367525640026,-0.3531124820176772,0.061039753324496904,false,132028,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
0.75,2.0,0.140625,train,0.03,2,2,2,-0.18824875576961658,-0.18158837132352318,-0.1815875396012704,0.006661216168346196,true,99018,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
1.05,0.5,1.1025,train,0.03,5,4,4,-1.2711554105515426,-0.7962863700566889,-0.7962606684119382,0.47489474213960436,true,198054,165044,4,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
1.05,0.8,0.6890625,test,0.03,4,3,3,-0.821257338852671,-0.6309483230714251,-0.6309098276300212,0.1903475112226498,true,165040,132031,3,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
1.05,2.0,0.275625,test,0.03,2,2,2,-0.3704389369409427,-0.3462997255144582,-0.34628981903917144,0.024149117901771266,true,99018,99020,2,"week4_logistic;features=g,omega,lambda,n/64,log10(r_n),|Sigma_diag|;no_teacher_features;theta_class=0.03;E0_Born_VC=NOT_COMPUTED"
