claim_id,method,physical_object,material,config,correctness_status,statistical_status,performance_status,point_estimate,uncertainty,comparator,cost_ratio,interval_low,interval_high,practical_threshold,evidence_path,final_disposition
C0_WQ,native_add_external_ph,phonon_frequency,LiF-electron,Method0_20c_rank20,PASS_OFF_SHADOW_AND_TABLE,NA,NA,NA,NA,unrepaired_add_external_ph,NA,NA,NA,NA,research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2,PRESERVED_POSITIVE
C1_HOTSPOT,B-best,MC_update_time_share,LiF-electron,Nmcmc100_4seeds,INSTRUMENTED,NA,NA,f_swap=0.212,NA,MC_loop,NA,0.210,0.212,NA,research/mainline/CLOSURE/2026-09-14/runs/night1/C1,PRESERVED_FACT
C5_Q_B0,B0,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_1of6,NA,-0.250253260,JK_SE_2.368meV_relSE_0.946pct_relHW_2.433pct,E_bare,NA,NA,NA,2.5meV_1pct,benchmarks/c5_dev/frozen_results.json,FIXED_SETTING_DEV
C5_Q_Bbest,B-best,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_3of6,NA,-0.247842001,JK_SE_3.712meV_relSE_1.498pct_relHW_3.850pct,E_bare,NA,NA,NA,2.5meV_1pct,benchmarks/c5_dev/frozen_results.json,FIXED_SETTING_DEV
C5_Q_P1fix,P1_fixture_binary,formation_energy_Q,LiF-electron,Nmcmc200_6ch,NATIVE_RUN,HAC_FAIL_1of6,NO_RELIABLE_WALL,-0.249583768,JK_SE_2.343meV_relSE_0.939pct_relHW_2.413pct,B-best,T_0.989,0.952,1.025,0.95,benchmarks/c5_dev/frozen_results.json,TIMING_CONTAMINATED_BY_FIXTURE
P1_CLEAN,P1_clean,formation_energy_Q,LiF-electron,Nmcmc200_6ch,COMPLETE_SOURCE_AND_FIXTURE,HAC_FAIL,UNRESOLVED_WITHIN_BUDGET,-0.246613730,JK_SE_3.350meV_relSE_1.358pct_relHW_3.491pct,B-best,T_0.956,0.940,0.972,0.95,benchmarks/p1_vs_bbest/frozen_results.json,P1_UNRESOLVED_WITHIN_BUDGET
P4,P4_affine64,DA_residual_b,LiF-electron,frozen_recipe,NOT_TESTED,NOT_TRAINED,NOT_TESTED,NA,NA,clean_P1,NA,NA,NA,0.95,docs/future_work/P4_P5_LEARNING_CANDIDATES.md,FUTURE_WORK_CANDIDATE
P5,P5_nn128_32_1,DA_residual_b,LiF-electron,frozen_recipe_seed11,NOT_TESTED,NOT_TRAINED,NOT_TESTED,NA,NA,clean_P1,NA,NA,NA,0.95,docs/future_work/P4_P5_LEARNING_CANDIDATES.md,FUTURE_WORK_CANDIDATE
R1_EVAL,R1_vs_CSE,fixed_order_kernel,scalar_toy,compile_once,PASS_SCOPED,NA,NO_ADDITIONAL_CSE_GAIN,ratio~0.9992,NA,symbolic_CSE,0.9992,0.9863,1.0034,NA,benchmarks/r1_fixed_order/frozen_results.json,VALIDATED_IN_SCOPE_NO_ADDITIONAL_CSE_GAIN_ESTABLISHED
R1_MAT,R1_local_group,variable_order_material_Q,LiF-electron,Route_B,NOT_IMPLEMENTED,NOT_TESTED,NOT_TESTED,NA,NA,BOUND_C,NA,NA,NA,NA,docs/future_work/R1_REAL_MATERIAL_GROUPED_CONSUMER.md,FUTURE_WORK
GS_1PCT,reference,ground_state_Q,LiF-electron,infinite_tau_order_grid,NOT_CERTIFIED,NOT_PURSUED,NA,NA,NA,literature_Table1,NA,NA,NA,1pct,docs/future_work/GROUND_STATE_1PCT.md,NOT_CERTIFIED_NOT_PURSUED
GROUP_V3,Group-v3,historical_fixed_recipe,historical,fixed,PRESERVED,NA,NO_DEMONSTRATED_GAIN,NA,NA,baseline,NA,NA,NA,NA,archive/historical_negative_results/README.md,NO_DEMONSTRATED_GAIN_FIXED_RECIPE
GITHUB,release_candidate,public_package,NA,2026-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,release/2026-09-16/RELEASE_CHECKLIST.md,RELEASE_CANDIDATE
