case,r1_result,naive_generated_result,dag_result,max_error_including_Op,status
HS_n1_b1/DEV/base,(0.05054715936426681+0j),(0.05054715936426681+0j),(0.05054715936426681+0j),0.0,PASS
HS_n1_b1/DEV/change_k,(0.050353081003951354+0j),(0.050353081003951354+0j),(0.050353081003951354+0j),0.0,PASS
HS_n1_b1/DEV/change_q,(0.050353081003951354+0j),(0.050353081003951354+0j),(0.050353081003951354+0j),0.0,PASS
HS_n1_b1/DEV/change_tau,(0.026917140322685978+0j),(0.026917140322685978+0j),(0.026917140322685978+0j),0.0,PASS
HS_n1_b1/DEV/change_t,(0.05054715936426681+0j),(0.05054715936426681+0j),(0.05054715936426681+0j),0.0,PASS
HS_n1_b1/DEV/change_omega,(0.05055688289456249+0j),(0.05055688289456249+0j),(0.05055688289456249+0j),0.0,PASS
HS_n1_b1/DEV/change_g,(0.039938496287815754+0j),(0.039938496287815754+0j),(0.039938496287815754+0j),0.0,PASS
HS_n1_b1/DEV/g_zero,0j,0j,0j,0.0,PASS
HS_n1_b1/DEV/joint_parameters,(0.12225284332121454+0j),(0.12225284332121454+0j),(0.12225284332121454+0j),0.0,PASS
HS_n1_b1/DEV/joint_sample,(0.007181401461657051+0j),(0.007181401461657051+0j),(0.007181401461657051+0j),0.0,PASS
HS_n1_b1/DEV/repeat_q_then_separate,(0.050353081003951354+0j),(0.050353081003951354+0j),(0.050353081003951354+0j),0.0,PASS
HS_n1_b1/DEV/repeat_dtau_then_separate,(0.044187658269741414+0j),(0.044187658269741414+0j),(0.044187658269741414+0j),0.0,PASS
HS_n1_b1/DEV/change_L_analytic,(0.025273579682133403+0j),(0.025273579682133403+0j),(0.025273579682133403+0j),0.0,PASS
HS_n1_b1/DEV/small_nonzero_g,(2.4961560179884845e-17+0j),(2.4961560179884845e-17+0j),(2.4961560179884845e-17+0j),0.0,PASS
HS_n1_b1/DEV/longer_legal_intervals,(0.015900672297990852+0j),(0.015900672297990852+0j),(0.015900672297990852+0j),0.0,PASS
HS_n1_b1/DEV/same_input_repeat,(0.05054715936426681+0j),(0.05054715936426681+0j),(0.05054715936426681+0j),0.0,PASS
HS_n1_b1/RESERVED_CONFIRMATION/base,(0.02036235747256398+0j),(0.02036235747256398+0j),(0.02036235747256398+0j),0.0,PASS
