run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
FEP-DMC-Data/FEP-DMC-Dataset/LiF-electron/E-nk/reference/20,0,1000,1,1,diagmc-EZ,500,600431,lif-sp3,0.0,0.9400030977747651,1 T
FEP-DMC-Data/FEP-DMC-Dataset/LiF-electron/E-nk/reference/40,0,1000,1,1,diagmc-EZ,500,600333,lif-sp3,0.0,0.9422087408155141,1 T
FEP-DMC-Data/FEP-DMC-Dataset/LiF-electron/E-nk/reference/60,0,1000,1,1,diagmc-EZ,500,600402,lif-sp3,0.0,0.9456630724081532,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9470666666666666,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9586666666666667,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9597333333333333,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9546666666666667,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9618666666666666,1 T
closure/2026-09-16-final/p1_confirm/runs/Bbest_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9408,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9062666666666667,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.96,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9409333333333333,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9522666666666667,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9436,1 T
closure/2026-09-16-final/p1_confirm/runs/P1_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9548,1 T
closure/2026-09-16-final/p1_fixture/off,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9626666666666667,1 T
closure/2026-09-16-final/p1_fixture/on,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9253333333333333,1 T
prototypes/r5_p0_native_chain_audit/FEP-DMC-src/example/E-nk/reference/20,0,1000,1,1,diagmc-EZ,500,600431,lif-sp3,0.0,0.9400030977747651,1 T
prototypes/r5_p0_native_chain_audit/FEP-DMC-src/example/E-nk/reference/40,0,1000,1,1,diagmc-EZ,500,600333,lif-sp3,0.0,0.9422087408155141,1 T
prototypes/r5_p0_native_chain_audit/FEP-DMC-src/example/E-nk/reference/60,0,1000,1,1,diagmc-EZ,500,600402,lif-sp3,0.0,0.9456630724081532,1 T
