case_id,spec_id,split,scenario,fixture_seed,generation_contract,expected,state,result
n1_r000,HS_n1_b1,DEV,change_k,29110000,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r001,HS_n1_b1,DEV,change_q,29110001,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r002,HS_n1_b1,DEV,change_tau,29110002,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r003,HS_n1_b1,DEV,change_t,29110003,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r004,HS_n1_b1,DEV,change_omega,29110004,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r005,HS_n1_b1,DEV,change_g,29110005,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r006,HS_n1_b1,DEV,g_zero,29110006,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r007,HS_n1_b1,DEV,joint_parameters,29110007,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r008,HS_n1_b1,DEV,joint_sample,29110008,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r009,HS_n1_b1,DEV,repeat_q_then_separate,29110009,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r010,HS_n1_b1,DEV,repeat_dtau_then_separate,29110010,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r011,HS_n1_b1,DEV,change_L_analytic,29110011,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r012,HS_n1_b1,DEV,small_nonzero_g,29110012,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r013,HS_n1_b1,DEV,longer_legal_intervals,29110013,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r014,HS_n1_b1,DEV,same_input_repeat,29110014,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r015,HS_n1_b1,DEV,interleaved_contexts,29110015,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r016,HS_n1_b1,DEV,change_k,29110016,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r017,HS_n1_b1,DEV,change_q,29110017,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r018,HS_n1_b1,DEV,change_tau,29110018,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r019,HS_n1_b1,DEV,change_t,29110019,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r020,HS_n1_b1,DEV,change_omega,29110020,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r021,HS_n1_b1,DEV,change_g,29110021,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r022,HS_n1_b1,DEV,g_zero,29110022,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r023,HS_n1_b1,DEV,joint_parameters,29110023,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r024,HS_n1_b1,DEV,joint_sample,29110024,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r025,HS_n1_b1,DEV,repeat_q_then_separate,29110025,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r026,HS_n1_b1,DEV,repeat_dtau_then_separate,29110026,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
n1_r027,HS_n1_b1,DEV,change_L_analytic,29110027,use split-specific base input; alter scenario fields only; legal torus points and ordered times; no numerical execution now,same graph/layout/compiled code; match independent oracle,PLANNED,NOT_COMPUTED
